"Egenes","Eclass"
"KRTDAP","extracellular region (GO:0005576)"
"BTBD17","extracellular region (GO:0005576)"
"LNPEP","extracellular region (GO:0005576)"
"C12ORF73","extracellular region (GO:0005576)"
"SPINT2","extracellular region (GO:0005576)"
"SPINT1","extracellular region (GO:0005576)"
"AGTR2","extracellular region (GO:0005576)"
"SCT","extracellular region (GO:0005576)"
"PON1","extracellular region (GO:0005576)"
"PON2","extracellular region (GO:0005576)"
"LCAT","extracellular region (GO:0005576)"
"DLL1","extracellular region (GO:0005576)"
"TFPI","extracellular region (GO:0005576)"
"UACA","extracellular region (GO:0005576)"
"IFNL1","extracellular region (GO:0005576)"
"SAMD1","extracellular region (GO:0005576)"
"CHST9","extracellular region (GO:0005576)"
"JAG1","extracellular region (GO:0005576)"
"KIR3DP1","extracellular region (GO:0005576)"
"ACE2","extracellular region (GO:0005576)"
"SCGB1C1","extracellular region (GO:0005576)"
"C12ORF49","extracellular region (GO:0005576)"
"TREML4","extracellular region (GO:0005576)"
"F13B","extracellular region (GO:0005576)"
"HYOU1","extracellular region (GO:0005576)"
"C19ORF24","extracellular region (GO:0005576)"
"TFRC","extracellular region (GO:0005576)"
"COL13A1","extracellular region (GO:0005576)"
"PDGFC","extracellular region (GO:0005576)"
"PLA2G3","extracellular region (GO:0005576)"
"PDGFB","extracellular region (GO:0005576)"
"PLA2G5","extracellular region (GO:0005576)"
"SPINT4","extracellular region (GO:0005576)"
"PDGFA","extracellular region (GO:0005576)"
"SPINT3","extracellular region (GO:0005576)"
"LYPD6","extracellular region (GO:0005576)"
"PLA2G7","extracellular region (GO:0005576)"
"ISM2","extracellular region (GO:0005576)"
"ISM1","extracellular region (GO:0005576)"
"OBP2A","extracellular region (GO:0005576)"
"OBP2B","extracellular region (GO:0005576)"
"SCGB1D4","extracellular region (GO:0005576)"
"PDGFD","extracellular region (GO:0005576)"
"FAM19A3","extracellular region (GO:0005576)"
"FAM19A1","extracellular region (GO:0005576)"
"TPSAB1","extracellular region (GO:0005576)"
"FAM19A5","extracellular region (GO:0005576)"
"FAM19A4","extracellular region (GO:0005576)"
"P06326","extracellular region (GO:0005576)"
"FN1","extracellular region (GO:0005576)"
"WNT9A","extracellular region (GO:0005576)"
"WNT9B","extracellular region (GO:0005576)"
"MMP11","extracellular region (GO:0005576)"
"MMP10","extracellular region (GO:0005576)"
"MMP13","extracellular region (GO:0005576)"
"TMEFF2","extracellular region (GO:0005576)"
"MMP12","extracellular region (GO:0005576)"
"COL3A1","extracellular region (GO:0005576)"
"SIGLEC1","extracellular region (GO:0005576)"
"MMP19","extracellular region (GO:0005576)"
"COL22A1","extracellular region (GO:0005576)"
"P06331","extracellular region (GO:0005576)"
"CCDC3","extracellular region (GO:0005576)"
"CRLF2","extracellular region (GO:0005576)"
"SIGLEC6","extracellular region (GO:0005576)"
"ACHE","extracellular region (GO:0005576)"
"IL18BP","extracellular region (GO:0005576)"
"MFI2","extracellular region (GO:0005576)"
"WNT8B","extracellular region (GO:0005576)"
"WNT8A","extracellular region (GO:0005576)"
