"Gene_names","Eclass"
"PDGFRB","growth factor receptor binding (GO:0070851)"
"EGF","growth factor receptor binding (GO:0070851)"
"PDGFRA","growth factor receptor binding (GO:0070851)"
"IL1R1","growth factor receptor binding (GO:0070851)"
"FRS3","growth factor receptor binding (GO:0070851)"
"FRS2","growth factor receptor binding (GO:0070851)"
"IL1F10","growth factor receptor binding (GO:0070851)"
"EREG","growth factor receptor binding (GO:0070851)"
"RNF41","growth factor receptor binding (GO:0070851)"
"PDCL3","growth factor receptor binding (GO:0070851)"
"TOLLIP","growth factor receptor binding (GO:0070851)"
"TRIP6","growth factor receptor binding (GO:0070851)"
"IL6ST","growth factor receptor binding (GO:0070851)"
"TYMP","growth factor receptor binding (GO:0070851)"
"APP","growth factor receptor binding (GO:0070851)"
"FIGF","growth factor receptor binding (GO:0070851)"
"CSF3","growth factor receptor binding (GO:0070851)"
"CNTF","growth factor receptor binding (GO:0070851)"
"CSF2","growth factor receptor binding (GO:0070851)"
"CBLC","growth factor receptor binding (GO:0070851)"
"TIMM50","growth factor receptor binding (GO:0070851)"
"CD2AP","growth factor receptor binding (GO:0070851)"
"FGF21","growth factor receptor binding (GO:0070851)"
"FGF20","growth factor receptor binding (GO:0070851)"
"IL12RB1","growth factor receptor binding (GO:0070851)"
"FGF23","growth factor receptor binding (GO:0070851)"
"FGF22","growth factor receptor binding (GO:0070851)"
"YES1","growth factor receptor binding (GO:0070851)"
"GLMN","growth factor receptor binding (GO:0070851)"
"TNK2","growth factor receptor binding (GO:0070851)"
"IL36G","growth factor receptor binding (GO:0070851)"
"SLC9A3R1","growth factor receptor binding (GO:0070851)"
"SDCBP","growth factor receptor binding (GO:0070851)"
"FGF18","growth factor receptor binding (GO:0070851)"
"BTC","growth factor receptor binding (GO:0070851)"
"FGF17","growth factor receptor binding (GO:0070851)"
"MYD88","growth factor receptor binding (GO:0070851)"
"FGF16","growth factor receptor binding (GO:0070851)"
"PLSCR1","growth factor receptor binding (GO:0070851)"
"FGF19","growth factor receptor binding (GO:0070851)"
"FGF10","growth factor receptor binding (GO:0070851)"
"GRB2","growth factor receptor binding (GO:0070851)"
"FGF14","growth factor receptor binding (GO:0070851)"
"FGF12","growth factor receptor binding (GO:0070851)"
"IL1RN","growth factor receptor binding (GO:0070851)"
"IL23R","growth factor receptor binding (GO:0070851)"
