"Gene_names","Eclass"
"RPS8","Ribosome_Homo sapiens_hsa03010"
"RPL22","Ribosome_Homo sapiens_hsa03010"
"RPL21","Ribosome_Homo sapiens_hsa03010"
"RPS9","Ribosome_Homo sapiens_hsa03010"
"RPL36A-HNRNPH2","Ribosome_Homo sapiens_hsa03010"
"RPS6","Ribosome_Homo sapiens_hsa03010"
"RPL24","Ribosome_Homo sapiens_hsa03010"
"RPL23","Ribosome_Homo sapiens_hsa03010"
"RPS7","Ribosome_Homo sapiens_hsa03010"
"MRPS18C","Ribosome_Homo sapiens_hsa03010"
"MRPS18A","Ribosome_Homo sapiens_hsa03010"
"RPSA","Ribosome_Homo sapiens_hsa03010"
"RPL26","Ribosome_Homo sapiens_hsa03010"
"FAU","Ribosome_Homo sapiens_hsa03010"
"RPL28","Ribosome_Homo sapiens_hsa03010"
"RPL22L1","Ribosome_Homo sapiens_hsa03010"
"RPL27","Ribosome_Homo sapiens_hsa03010"
"RPL29","Ribosome_Homo sapiens_hsa03010"
"RPL26L1","Ribosome_Homo sapiens_hsa03010"
"RPL11","Ribosome_Homo sapiens_hsa03010"
"RPL10","Ribosome_Homo sapiens_hsa03010"
"RPL13","Ribosome_Homo sapiens_hsa03010"
"RPL12","Ribosome_Homo sapiens_hsa03010"
"RPS4Y2","Ribosome_Homo sapiens_hsa03010"
"RPS4Y1","Ribosome_Homo sapiens_hsa03010"
"RPL36AL","Ribosome_Homo sapiens_hsa03010"
"RPL15","Ribosome_Homo sapiens_hsa03010"
"RPS5","Ribosome_Homo sapiens_hsa03010"
"RPL14","Ribosome_Homo sapiens_hsa03010"
"RPS2","Ribosome_Homo sapiens_hsa03010"
"RPL17","Ribosome_Homo sapiens_hsa03010"
"RPS3","Ribosome_Homo sapiens_hsa03010"
"RPL19","Ribosome_Homo sapiens_hsa03010"
"RPL18","Ribosome_Homo sapiens_hsa03010"
"RPL41","Ribosome_Homo sapiens_hsa03010"
"LOC101929876","Ribosome_Homo sapiens_hsa03010"
"RPL3L","Ribosome_Homo sapiens_hsa03010"
"RPS27","Ribosome_Homo sapiens_hsa03010"
"RPS26","Ribosome_Homo sapiens_hsa03010"
"MRPL10","Ribosome_Homo sapiens_hsa03010"
"RPS29","Ribosome_Homo sapiens_hsa03010"
"LOC102724828","Ribosome_Homo sapiens_hsa03010"
"RPS28","Ribosome_Homo sapiens_hsa03010"
"RPL27A","Ribosome_Homo sapiens_hsa03010"
"RPS21","Ribosome_Homo sapiens_hsa03010"
"RPS20","Ribosome_Homo sapiens_hsa03010"
"RPS23","Ribosome_Homo sapiens_hsa03010"
"RNR1","Ribosome_Homo sapiens_hsa03010"
"RNR2","Ribosome_Homo sapiens_hsa03010"
"RPS25","Ribosome_Homo sapiens_hsa03010"
"RSL24D1","Ribosome_Homo sapiens_hsa03010"
"RPS24","Ribosome_Homo sapiens_hsa03010"
"RPL5","Ribosome_Homo sapiens_hsa03010"
"RPL6","Ribosome_Homo sapiens_hsa03010"
"RPL31","Ribosome_Homo sapiens_hsa03010"
"RPL3","Ribosome_Homo sapiens_hsa03010"
"RPL4","Ribosome_Homo sapiens_hsa03010"
"RPL30","Ribosome_Homo sapiens_hsa03010"
"RPL32","Ribosome_Homo sapiens_hsa03010"
"RPL35","Ribosome_Homo sapiens_hsa03010"
"MRPL19","Ribosome_Homo sapiens_hsa03010"
"RPL34","Ribosome_Homo sapiens_hsa03010"
"MRPL17","Ribosome_Homo sapiens_hsa03010"
"MRPL18","Ribosome_Homo sapiens_hsa03010"
"MRPL15","Ribosome_Homo sapiens_hsa03010"
"MRPL16","Ribosome_Homo sapiens_hsa03010"
"RPL9","Ribosome_Homo sapiens_hsa03010"
"MRPL1","Ribosome_Homo sapiens_hsa03010"
"MRPL13","Ribosome_Homo sapiens_hsa03010"
"MRPL14","Ribosome_Homo sapiens_hsa03010"
"RPL7","Ribosome_Homo sapiens_hsa03010"
"MRPL11","Ribosome_Homo sapiens_hsa03010"
"MRPL12","Ribosome_Homo sapiens_hsa03010"
"RPL8","Ribosome_Homo sapiens_hsa03010"
"MRPL20","Ribosome_Homo sapiens_hsa03010"
"RPS16","Ribosome_Homo sapiens_hsa03010"
"MRPL4","Ribosome_Homo sapiens_hsa03010"
"RPS15","Ribosome_Homo sapiens_hsa03010"
"MRPL21","Ribosome_Homo sapiens_hsa03010"
"MRPL3","Ribosome_Homo sapiens_hsa03010"
"RPS18","Ribosome_Homo sapiens_hsa03010"
"RPS17","Ribosome_Homo sapiens_hsa03010"
"MRPL2","Ribosome_Homo sapiens_hsa03010"
"MRPL9","Ribosome_Homo sapiens_hsa03010"
"RPS19","Ribosome_Homo sapiens_hsa03010"
"RPL37","Ribosome_Homo sapiens_hsa03010"
"RPL36","Ribosome_Homo sapiens_hsa03010"
"RPL39","Ribosome_Homo sapiens_hsa03010"
"RPS10","Ribosome_Homo sapiens_hsa03010"
"RPL38","Ribosome_Homo sapiens_hsa03010"
"RPS12","Ribosome_Homo sapiens_hsa03010"
"RPS11","Ribosome_Homo sapiens_hsa03010"
"RPS14","Ribosome_Homo sapiens_hsa03010"
"RPS13","Ribosome_Homo sapiens_hsa03010"
"RPL13A","Ribosome_Homo sapiens_hsa03010"
"MRPL28","Ribosome_Homo sapiens_hsa03010"
"MRPS2","Ribosome_Homo sapiens_hsa03010"
"RPS3A","Ribosome_Homo sapiens_hsa03010"
"MRPL27","Ribosome_Homo sapiens_hsa03010"
"MRPL24","Ribosome_Homo sapiens_hsa03010"
"MRPS7","Ribosome_Homo sapiens_hsa03010"
"MRPL22","Ribosome_Homo sapiens_hsa03010"
"MRPS6","Ribosome_Homo sapiens_hsa03010"
"MRPL23","Ribosome_Homo sapiens_hsa03010"
"MRPS5","Ribosome_Homo sapiens_hsa03010"
"MRPL32","Ribosome_Homo sapiens_hsa03010"
"MRPL30","Ribosome_Homo sapiens_hsa03010"
"MRPS9","Ribosome_Homo sapiens_hsa03010"
"RPL37A","Ribosome_Homo sapiens_hsa03010"
"MRPS16","Ribosome_Homo sapiens_hsa03010"
"MRPS17","Ribosome_Homo sapiens_hsa03010"
"MRPS14","Ribosome_Homo sapiens_hsa03010"
"RPS10-NUDT3","Ribosome_Homo sapiens_hsa03010"
"MRPS15","Ribosome_Homo sapiens_hsa03010"
"MRPS12","Ribosome_Homo sapiens_hsa03010"
"MRPS10","Ribosome_Homo sapiens_hsa03010"
"MRPS11","Ribosome_Homo sapiens_hsa03010"
"RPS27L","Ribosome_Homo sapiens_hsa03010"
"MRPL35","Ribosome_Homo sapiens_hsa03010"
"MRPL36","Ribosome_Homo sapiens_hsa03010"
"MRPL33","Ribosome_Homo sapiens_hsa03010"
"MRPL34","Ribosome_Homo sapiens_hsa03010"
"RPL36A","Ribosome_Homo sapiens_hsa03010"
"RPS15A","Ribosome_Homo sapiens_hsa03010"
"RPS27A","Ribosome_Homo sapiens_hsa03010"
"MRPS21","Ribosome_Homo sapiens_hsa03010"
"RPL35A","Ribosome_Homo sapiens_hsa03010"
"RPL23A","Ribosome_Homo sapiens_hsa03010"
"UBA52","Ribosome_Homo sapiens_hsa03010"
"RPLP0","Ribosome_Homo sapiens_hsa03010"
"RPLP2","Ribosome_Homo sapiens_hsa03010"
"RPL10L","Ribosome_Homo sapiens_hsa03010"
"RPLP1","Ribosome_Homo sapiens_hsa03010"
"RPL10A","Ribosome_Homo sapiens_hsa03010"
"RPS4X","Ribosome_Homo sapiens_hsa03010"
"RPL18A","Ribosome_Homo sapiens_hsa03010"
"RPL7A","Ribosome_Homo sapiens_hsa03010"
"REXO1","Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008"
"REXO2","Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008"
"IMP3","Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008"
"IMP4","Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008"
"WDR75","Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008"
"GNL3","Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008"
"GNL2","Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008"
