X,moduleColor
LOC283412,background
EIF3K,background
MIF,background
PAQR8,background
RPL38,background
MRPS27,background
RPP21,background
LAGE3,background
LSM2,background
TMED3,background
LOC552889,background
ERGIC3,background
UCKL1,background
HIGD2A,background
EIF3G,background
C2ORF89,background
ATP5G2,background
ESD,background
TRMT1,background
RASSF7,background
ERP29,background
MRI1,background
TRPT1,background
RBBP4,background
LOC284393,background
PIK3IP1,background
LOC729843,background
ZDHHC16,background
LOC439949,background
HIST1H2AC,background
EIF4B,background
LEF1,background
MGC33556,background
ATP5G1,background
CDR2,background
ACTR1B,background
DPH2,background
GTPBP6,background
C4ORF14,background
DUSP6,background
LSM4,background
TTC4,background
LOC440589,background
LOC652071,background
ASNS,background
DGCR6,background
EIF3L,background
DNAJA3,background
DDX47,background
RPA2,background
RPL18A,background
LOC550643,background
APOA1BP,background
SLC25A6,background
NELL2,background
PAICS,background
SDAD1,background
DCTPP1,background
MRPS12,background
DKC1,background
LOC401019,background
C1ORF50,background
ATP8B2,background
NSMCE1,background
C21ORF33,background
PEBP1,background
NDUFB11,background
IDH1,background
TMBIM4,background
CPNE3,background
SUPT5H,background
HEXB,background
TSSC4,background
FBXL5,background
CD24,background
SRGN,background
ITPKB,background
ICAM2,background
AHSA1,background
AGTPBP1,background
RCBTB2,background
HS.407903,background
TPK1,background
LOC100129550,background
SUMO1P3,background
AP1G2,background
LOC651309,background
EIF4E3,background
FAM49B,background
HEXDC,background
CLPTM1,background
CD302,background
HSPB1,background
SPPL2A,background
GPR137,background
KPNA6,background
SLC35A4,background
SLC40A1,background
DDX56,background
TRPV2,background
KLHL12,background
DEGS1,background
ILF3,background
LAMP2,background
DNAJC4,background
NSL1,background
GCA,background
NSMAF,background
TMC6,background
DHPS,background
PTEN,background
LACTB,background
PRPF3,background
DERA,background
CHMP1B,background
FYB,background
SEC61B,background
TP53INP1,background
GHITM,background
WSB2,background
HMGN2,background
TUBGCP6,background
MTMR11,background
CNBP,background
PPP2R4,background
LOC407835,background
DCAKD,background
GNAI3,background
HIF1A,background
UCHL5IP,background
PNPLA7,background
VPS26A,background
RPUSD3,background
LOC440348,background
PELI1,background
UBE2E3,background
CRTAP,background
TIMM22,background
DPYD,background
FEZ2,background
PPP2CA,background
ACTR2,background
CD3E,background
NFE2L2,background
RHBDD2,background
MICAL1,background
RUSC1,background
ASPSCR1,background
SLC35C2,background
DCXR,background
B2M,background
CCBL2,background
RAB9A,background
PTGER2,background
FNDC3B,background
SLC39A3,background
FIBP,background
LOC730534,background
MOAP1,background
MRFAP1,background
PEX16,background
SNRNP70,background
SPATA2L,background
C14ORF173,background
URM1,background
EDEM1,background
RAB4B,background
TBC1D10C,background
FAM8A1,background
RFXANK,background
ATHL1,background
CPD,background
FAM107B,background
CHMP1A,background
SIGIRR,background
MFSD1,background
ZSWIM1,background
GMPPA,background
TM9SF2,background
YIPF4,background
RNGTT,background
DYNLRB1,background
PTK2B,background
STUB1,background
LOC645385,background
DEDD,background
TRMT5,background
NUDT3,background
MAP2K2,background
DKFZP761P0423,background
SMARCB1,background
NDUFV1,background
ARPC5,background
NPTN,background
GLTP,background
ELOVL5,background
NUDT16L1,background
GRSF1,background
SRP54,background
LMF2,background
CD1D,background
MAPK8IP3,background
CLIP1,background
RRAS,background
DYNC1LI2,background
TTC13,background
ACTR3,background
FLAD1,background
KCTD6,background
DDX21,background
MRPL37,background
CENPB,background
CCR2,background
C1ORF63,background
TMEM71,background
EIF6,background
CHSY1,background
LOC148915,background
NFKBIZ,background
SAP30L,background
