"InputCategories","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues","Genes"
"FDR_Pass","cotranslational protein targeting to membrane (GO:0006613)__GO_BP","User",62,1.26267427528262e-05,0.019899746578454,"ARL6IP1;FAU;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;SEC11A;SEC11C;SEC61A1;SEC61B;SEC61G;SPCS1;SRP14;SRP19;SRP54;SRP68;SRP72;SRP9;SRPR;SSR1;SSR2;TRAM1;UBA52"
"FDR_Pass","SRP-dependent cotranslational protein targeting to membrane (GO:0006614)__GO_BP","User",61,1.91694352192464e-05,0.0302110299055324,"FAU;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;SEC11A;SEC11C;SEC61A1;SEC61B;SEC61G;SPCS1;SRP14;SRP19;SRP54;SRP68;SRP72;SRP9;SRPR;SSR1;SSR2;TRAM1;UBA52"
"FDR_Pass","establishment of protein localization to endoplasmic reticulum (GO:0072599)__GO_BP","User",63,3.8684163886396e-05,0.0609662422849602,"FAU;RAB10;RAB3GAP2;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;SEC11A;SEC11C;SEC61A1;SEC61B;SEC61G;SPCS1;SRP14;SRP19;SRP54;SRP68;SRP72;SRP9;SRPR;SSR1;SSR2;TRAM1;UBA52"
"FDR_Pass","protein localization to endoplasmic reticulum (GO:0070972)__GO_BP","User",63,3.8684163886396e-05,0.0609662422849602,"BCAP31;FAU;PEX16;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;SEC11A;SEC11C;SEC61A1;SEC61B;SEC61G;SPCS1;SRP14;SRP19;SRP54;SRP68;SRP72;SRP9;SRPR;SSR1;SSR2;TRAM1;UBA52"
"FDR_Pass","protein targeting to ER (GO:0045047)__GO_BP","User",61,5.24659426977722e-05,0.082686325691689,"FAU;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;SEC11A;SEC11C;SEC61A1;SEC61B;SEC61G;SPCS1;SRP14;SRP19;SRP54;SRP68;SRP72;SRP9;SRPR;SSR1;SSR2;TRAM1;UBA52"
"FDR_Pass","protein targeting to membrane (GO:0006612)__GO_BP","User",68,0.000135396017336203,0.213384123321855,"ARL6IP1;ATG3;FAU;MYADM;PACS1;PEX16;RAB8B;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;SEC11A;SEC11C;SEC61A1;SEC61B;SEC61G;SPCS1;SRP14;SRP19;SRP54;SRP68;SRP72;SRP9;SRPR;SSR1;SSR2;TMED2;TRAM1;UBA52"
"FDR_Pass","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)__GO_BP","User",58,0.000259513379951925,0.408993086804233,"CASC3;DCP2;EIF3E;EIF4A3;EIF4G1;EXOSC10;FAU;NCBP2;PNRC2;PPP2CA;PPP2R1A;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;SMG1;SMG5;SMG7;UBA52"
"FDR_Pass","ribosomal subunit (GO:0044391)__GO_CC","User",56,0.000797999678747003,1,"DDX3X;FAU;FXR2;HBA1;MRPL23;MRPL3;MRPL32;MRPL51;MRPS18C;MRPS21;MRPS22;MRPS31;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;UBA52"
"FDR_Pass","translation (GO:0006412)__GO_BP","User",91,0.0010212068709936,1,"ABCF1;AKT1;COPS5;DHPS;EEF1B2;EEF2;EIF3B;EIF3E;EIF3H;EIF3M;EIF4A2;EIF4EBP2;EIF4G1;FAU;GCN1L1;HARS2;MRPL11;MRPL21;MRPL23;MRPL3;MRPL32;MRPL33;MRPL37;MRPL43;MRPL51;MRPS18C;MRPS21;PABPC4;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;RRBP1;SARS;SEC11A;SEC11C;SEC61B;SEC61G;SPCS1;SRP14;SRP19;SRP54;SRP68;SRP72;SRP9;SRPR;SSR1;SSR2;TNIP1;TRAM1;UBA52;WARS"
"FDR_Pass","establishment of protein localization to organelle (GO:0072594)__GO_BP","User",93,0.00104394264781028,1,"ADAR;F2R;FAU;FYB;GCC1;H2AFY;HGS;KPNA1;KPNA3;KPNA4;KPNA6;LAMP1;LMNA;MCM3AP;MOAP1;NOP58;PACS1;PEX16;PMPCB;RAB10;RAB3GAP2;RAB8B;RAN;RERE;RPAIN;RPL11;RPL13;RPL13A;RPL15;RPL17;RPL21;RPL23;RPL24;RPL26;RPL27;RPL27A;RPL30;RPL31;RPL35;RPL35A;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL9;RPLP0;RPLP2;RPS10;RPS11;RPS13;RPS14;RPS15A;RPS17;RPS18;RPS2;RPS24;RPS25;RPS27;RPS27A;RPS29;RPS3;RPS3A;RPS5;RPS6;RPS9;RPSA;SEC11A;SEC11C;SEC61A1;SEC61B;SEC61G;SORL1;SPCS1;SRP14;SRP19;SRP54;SRP68;SRP72;SRP9;SRPR;SSR1;SSR2;STAT3;TIMM22;TIMM23;TOMM20;TOMM22;TOMM6;TOMM7;TRAM1;UBA52"
