"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"greenyellow","cellular response to type I interferon (GO:0071357)__GO_BP","User",4.20121046685754e-20
"greenyellow","type I interferon signaling pathway (GO:0060337)__GO_BP","User",4.20121046685754e-20
"greenyellow","response to type I interferon (GO:0034340)__GO_BP","User",6.96551686473103e-20
"greenyellow","defense response to virus (GO:0051607)__GO_BP","User",1.55559120434359e-18
"greenyellow","response to virus (GO:0009615)__GO_BP","User",1.11986706927831e-17
"greenyellow","cytokine-mediated signaling pathway (GO:0019221)__GO_BP","User",1.09115638566343e-14
"greenyellow","response to other organism (GO:0051707)__GO_BP","User",4.30846714801964e-14
"greenyellow","defense response to other organism (GO:0098542)__GO_BP","User",5.15104015120484e-14
"greenyellow","cellular response to cytokine stimulus (GO:0071345)__GO_BP","User",1.23743025422551e-12
"greenyellow","negative regulation of viral genome replication (GO:0045071)__GO_BP","User",8.27113289572177e-10
"greenyellow","negative regulation of viral process (GO:0048525)__GO_BP","User",1.19453213060168e-09
"greenyellow","regulation of viral genome replication (GO:0045069)__GO_BP","User",8.51882947125793e-09
"greenyellow","negative regulation of multi-organism process (GO:0043901)__GO_BP","User",3.16904625011329e-07
"greenyellow","regulation of viral process (GO:0050792)__GO_BP","User",1.17309468285144e-06
"greenyellow","regulation of symbiosis, encompassing mutualism through parasitism (GO:0043903)__GO_BP","User",3.16233868074284e-06
"turquoise","actin filament-based process (GO:0030029)__GO_BP","User",4.42179661914184e-06
"yellow","nucleolus (GO:0005730)__GO_CC","User",8.7248111968861e-06
"turquoise","hemostasis (GO:0007599)__GO_BP","User",1.18875342286727e-05
"greenyellow","response to interferon-gamma (GO:0034341)__GO_BP","User",1.21420949553807e-05
"turquoise","blood coagulation (GO:0007596)__GO_BP","User",1.48972566061606e-05
"turquoise","coagulation (GO:0050817)__GO_BP","User",1.48972566061606e-05
"greenyellow","Herpes simplex infection_Homo sapiens_hsa05168__KEGG_2016","User",1.53525039938384e-05
"greenyellow","Measles_Homo sapiens_hsa05162__KEGG_2016","User",3.78739582487609e-05
"greenyellow","regulation of multi-organism process (GO:0043900)__GO_BP","User",4.08255062176673e-05
"turquoise","actin cytoskeleton organization (GO:0030036)__GO_BP","User",4.50025726337901e-05
"black","viral transcription (GO:0019083)__GO_BP","User",5.72384587757843e-05
"black","translational termination (GO:0006415)__GO_BP","User",9.03987053581425e-05
"turquoise","actin binding (GO:0003779)__GO_MF","User",0.00015180895545954
"greenyellow","Hepatitis C_Homo sapiens_hsa05160__KEGG_2016","User",0.000172733380121022
"greenyellow","Influenza A_Homo sapiens_hsa05164__KEGG_2016","User",0.000196451783313019
"black","cellular protein complex disassembly (GO:0043624)__GO_BP","User",0.000212106385639356
"black","translational elongation (GO:0006414)__GO_BP","User",0.000242746482626604
"black","translational initiation (GO:0006413)__GO_BP","User",0.000291106667368422
"black","Ribosome_Homo sapiens_hsa03010__KEGG_2016","User",0.000669432714428764
